OBJECTID,FEATTYPE,NAME,PERENNIAL,FEATREL,ATTRREL,PLANACC,SOURCE,CREATED,RETIRED,PID,SYMBOL,FEATWIDTH,ORIENTATN,TEXTNOTE,Id,RefFID,StepID,SHAPE_Leng,SHAPE_Area,ORIG_FID,RASTERVALU,POINT_X,POINT_Y,rain_1mm,art_nat,ARRIVE_MCP
855,Windpump,BLACK DOUGLAS BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,6,-1059752.111,-2109164.287,27.93723488,1,0
9688,Windpump,NO 2 BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,6,-1089516.471,-2108984.842,26.91780663,1,0
4170,Bore,PHIRE BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,6,-1086323.497,-2107977.005,26.91780663,1,0
9722,Windpump,PINDAN BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,7,-1096232.143,-2107190.912,26.55272102,1,0
18695,Bore,,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1101115.013,-2106744.006,26.55272102,1,0
10371,Water Tank,MOYALL WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,86,0,0,,0,0,0,0,0,0,7,-1107082.273,-2105848.452,26.36217117,1,0
10729,Canal Line,,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,982252,947,0,0,,190,0,0,0.005044358,0,0,7,-1097192.694,-2105740.298,26.55272102,1,0
5933,Windpump,SILENT VALLEY BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,6,-1070040.173,-2105595.426,27.90553665,1,0
5075,Canal Line,,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,980468,947,0,0,,151,0,0,0.012181017,0,0,7,-1096928.746,-2105593.147,26.55272102,1,0
5075,Canal Line,,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,980468,947,0,0,,151,0,0,0.012181017,0,0,7,-1097362.878,-2105064.725,26.97665977,1,0
43830,Water Tank,BROLGA WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,86,0,0,,0,0,0,0,0,0,7,-1100942.631,-2104065.059,26.97665977,1,0
14576,Bore,CARDINGY WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1099737.276,-2103629.278,26.97665977,1,0
34234,Lake,,Perennial,20020523,20020523,100,GEOSCIENCE AUSTRALIA,5/09/2006,,3518210,10,0,0,,0,0,0,0.274725127,0.000583805,7623,7,-1099412.079,-2102769.432,26.97665977,0,0
854,Windpump,NO 4 BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,6,-1088124.344,-2102768.954,27.34041023,1,0
6186,Windpump,BAUHINIA BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,7,-1092350.341,-2100704.75,27.34041023,1,0
1903,Windpump,SCHULTZS BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,6,-1064100.328,-2100155.345,28.16577721,1,0
3287,Windpump,SPINIFEX BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,6,-1087389.009,-2099179.27,27.34041023,1,0
97483,Lake,,Perennial,20020523,20020523,100,GEOSCIENCE AUSTRALIA,5/09/2006,,3519020,10,0,0,,0,0,0,0.03102739,5.49624E-05,20158,0,-1101586.408,-2098747.184,26.97665977,0,0
