X,Y,fcsubtype,fcsubtype_,full_name,displaynam,datefeatur,datefeat_1,accessleve,metadataid,featuretex,nameid,globalid,systemname,perenniali,perennia_1,origin,origin_des,hierarchyd,hierarchyu,waterpolyg,waterpol_1,salinityco,salinity_1,watercours,watercou_1,leftbankco,leftbank_1,rightbankc,rightban_1,capturemet,capturem_1,datasource,datasour_1,planaccura,spatialrel,attributer,targetdisp,targetdi_1,datacustod,datacust_1,area_m,area_ll,st_area_sh,st_perimet,distance,angle,fid,waterpoint,waterpoi_1,symbolrota,id,layer,path,ndays_1,colonised,TCZ
-1334168.52981722,-2208701.51290763,"2",Wetland,,,"200702081913","200905191431","10",271.000000000000000,,"-99",{609094F6-28D4-11DF-B0B6-001E0B884B88},"-98","2",Perennial,"2",Natural,"9999","9999","2",Swamp,"-99",Unknown,"-99",Unknown,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19960101","19960101","50000",1:50000,"3",LANDGATE,748.541248490000044,0.000000060000000,0.000000064604801,0.001093219260278,0.000000000000000,250.361133059945530,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,22.000000000000000,"2","0"
-1327043.53842897,-2226599.33278967,"1",WaterBody,,,"200702081913","201010181601","10",271.000000000000000,,"-99",{60E496D2-28D4-11DF-B0B6-001E0B884B88},"100045424","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"2",MajorRiver,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19960101","19960101","50000",1:50000,"3",LANDGATE,22007.505812470000819,0.000001900000000,0.000001901351681,0.013759069161415,0.000000000000000,257.048057951900262,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,22.000000000000000,"2","0"
-813317.63850453,-1953261.18396369,"1",WaterBody,,,"200701251738","201010222108","10",263.000000000000000,,"-99",{419DDBF8-28D4-11DF-B0B6-001E0B884B88},"100206261","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"-99",Unknown,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19930101","19930101","50000",1:50000,"3",LANDGATE,57866.678000829997472,0.000004940000000,0.000004938214864,0.047855505753774,0.000000000000000,255.584621746643421,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,34.000000000000000,"1","0"
-815108.129552077,-1952439.52239201,"1",WaterBody,,,"200701251738","201010222108","10",263.000000000000000,,"-99",{419DDBF8-28D4-11DF-B0B6-001E0B884B88},"100206261","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"-99",Unknown,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19930101","19930101","50000",1:50000,"3",LANDGATE,57866.678000829997472,0.000004940000000,0.000004938214864,0.047855505753774,2000.000000000000000,284.139895630187368,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,34.000000000000000,"1","0"
-814339.834952117,-1952861.00451494,"1",WaterBody,,,"200701251738","201010222108","10",263.000000000000000,,"-99",{419DDBF8-28D4-11DF-B0B6-001E0B884B88},"100206261","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"-99",Unknown,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19930101","19930101","50000",1:50000,"3",LANDGATE,57866.678000829997472,0.000004940000000,0.000004938214864,0.047855505753774,4000.000000000000000,114.234835788429251,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,34.000000000000000,"1","0"
-1292032.34692747,-2271732.81613749,"1",WaterBody,Pear Creek,Pear Creek,"200702081913","201012171552","10",271.000000000000000,,"100045422",{6093A600-28D4-11DF-B0B6-001E0B884B88},"100045424","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"3",MinorRiver,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19960101","19960101","50000",1:50000,"3",LANDGATE,4450.588376310000058,0.000000390000000,0.000000385576981,0.005511847578682,0.000000000000000,102.634244555644031,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,23.000000000000000,"2","0"
-937796.735522226,-1885438.24072816,"1",WaterBody,,,"200702071248","201012022306","0",56.000000000000000,,"-99",{54BEC558-28D4-11DF-B0B6-001E0B884B88},"100044683","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"-99",Unknown,"-99",Unknown,"-99",Unknown,"4",Scan_Vectorise,"8",1:100000TopographicSeriesByGA,"53.7","19840101","19840101","100000",1:100000,"3",LANDGATE,15235.003010520000316,0.000001300000000,0.000001295328090,0.004618082721953,0.000000000000000,216.960611994034252,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,34.000000000000000,,"0"
-1022933.63453434,-1849915.41369586,"1",WaterBody,,,"200701251738","200907221116","10",259.000000000000000,,"-99",{426C0000-28D4-11DF-B0B6-001E0B884B88},"-98","2",Perennial,"2",Natural,"9999","9999","4",Lake,"-99",Unknown,"-99",Unknown,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19930101","19930101","50000",1:50000,"3",LANDGATE,57066.721392189996550,0.000004840000000,0.000004842372631,0.007876051707809,0.000000000000000,274.301501311156926,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,33.000000000000000,,"0"
-886857.356645739,-1924696.50501065,"1",WaterBody,,,"200702071247","201111041800","0",56.000000000000000,,"-99",{52BE4792-28D4-11DF-B0B6-001E0B884B88},"100206261","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"-99",Unknown,"-99",Unknown,"-99",Unknown,"4",Scan_Vectorise,"8",1:100000TopographicSeriesByGA,"53.7","19840101","19840101","100000",1:100000,"3",LANDGATE,7619.917831650000153,0.000000650000000,0.000000649216084,0.004646229759136,0.000000000000000,220.902300822717365,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,34.000000000000000,,"0"
-1232070.46820531,-2270633.5831051,"1",WaterBody,,,"200702081913","200904011256","10",271.000000000000000,,"-99",{60CEFB6A-28D4-11DF-B0B6-001E0B884B88},"100045424","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"2",MajorRiver,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19960101","19960101","50000",1:50000,"3",LANDGATE,5044.322311930000069,0.000000440000000,0.000000437133059,0.005474420322457,0.000000000000000,39.586121767482943,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,23.000000000000000,"2","0"
