X,Y,fcsubtype,fcsubtype_,full_name,displaynam,datefeatur,perenniali,perennia_1,origin,origin_des,waterpol_1,salinityco,salinity_1,watercours,watercou_1,waterpoint,waterpoi_1,layer,path,ndays_1,colonised,2021_pres,2022_pres,2023_pres
-608755.940370301,-1939804.29166275,"1",WaterBody,Leopold River,Leopold River,"200702071939","2",Perennial,"2",Natural,Pool,"-99",Unknown,"2",MajorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,41.000000000000000,,,,
-609506.191690927,-1940601.1313424,"1",WaterBody,Leopold River,Leopold River,"200702071939","2",Perennial,"2",Natural,Pool,"-99",Unknown,"2",MajorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,41.000000000000000,,,,
-369749.180089796,-1988880.53096335,"1",WaterBody,,,"200702071247","2",Perennial,"2",Natural,Pool,"-99",Unknown,"-99",Unknown,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,33.000000000000000,,,,
-533775.806306324,-2012175.22638094,"1",WaterBody,Mary River,Mary River,"200702071940","2",Perennial,"2",Natural,Pool,"-99",Unknown,"3",MinorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,38.000000000000000,,,,
-390633.022765561,-1984724.03438157,"1",WaterBody,,,"200702071247","2",Perennial,"2",Natural,Pool,"-99",Unknown,"-99",Unknown,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,35.000000000000000,"1",,,
-585523.835163899,-1945078.26629336,"1",WaterBody,,,"200702071940","2",Perennial,"2",Natural,Pool,"-99",Unknown,"3",MinorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,41.000000000000000,,,,
-584414.238463846,-1939496.88352763,"1",WaterBody,,,"200702071940","2",Perennial,"2",Natural,Pool,"-99",Unknown,"3",MinorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,41.000000000000000,,,,
-389638.822718397,-2038035.87296139,"1",WaterBody,,,"200702071247","2",Perennial,"2",Natural,Pool,"-99",Unknown,"-99",Unknown,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,30.000000000000000,,,,
-553127.993006388,-2043508.27907733,"1",WaterBody,Christmas Creek,Christmas Creek,"200702071940","2",Perennial,"2",Natural,Pool,"-99",Unknown,"2",MajorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,35.000000000000000,,,,
-552709.51436979,-2036564.23351542,"1",WaterBody,,,"200702071939","2",Perennial,"2",Natural,Pool,"-99",Unknown,"3",MinorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,35.000000000000000,,,,
-601713.786065405,-1935820.11158743,"1",WaterBody,Leopold River,Leopold River,"200702071939","2",Perennial,"2",Natural,Pool,"-99",Unknown,"2",MajorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,40.000000000000000,,,,
-602266.693853986,-1936747.07967301,"1",WaterBody,Leopold River,Leopold River,"200702071939","2",Perennial,"2",Natural,Pool,"-99",Unknown,"2",MajorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,40.000000000000000,,,,
-594857.656573666,-1964372.16789547,"1",WaterBody,Margaret River,Margaret River,"200702071940","2",Perennial,"2",Natural,Pool,"-99",Unknown,"2",MajorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,38.000000000000000,,,,
-502156.264264606,-2001190.42209426,"1",WaterBody,Mary River,Mary River,"200702071940","2",Perennial,"2",Natural,Pool,"-99",Unknown,"3",MinorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,39.000000000000000,,,,
-549249.415872049,-1980054.8991791,"1",WaterBody,Dead Horse Creek,Dead Horse Creek,"200702071940","2",Perennial,"2",Natural,Pool,"-99",Unknown,"3",MinorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,40.000000000000000,,,,
-590354.932993734,-2029803.80747763,"1",WaterBody,Christmas Creek,Christmas Creek,"200702071940","2",Perennial,"2",Natural,Pool,"-99",Unknown,"2",MajorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,35.000000000000000,,,,
